date,UTCtime,ping,download,upload,server
2018-02-28,15:30:02.743978,54.483,75.789,6.695,TekLinks
2018-02-28,15:40:09.109450,49.813,64.958,2.045,TekLinks
2018-02-28,15:50:03.636300,53.061,83.636,10.486,TekLinks
2018-02-28,16:00:10.224191,49.896,84.111,11.482,TekLinks
2018-02-28,16:10:03.114125,50.18,82.918,10.523,TekLinks
2018-02-28,16:20:02.923384,52.443,61.992,10.546,TekLinks
2018-02-28,16:30:09.447645,51.812,82.47,11.48,TekLinks
2018-02-28,16:40:02.581506,54.954,84.315,10.986,TekLinks
2018-02-28,16:50:03.046902,55.646,57.55,11.55,TekLinks
2018-02-28,17:00:15.912530,50.016,75.086,11.0,TekLinks
2018-02-28,17:10:02.018031,49.764,58.293,7.874,TekLinks
2018-02-28,17:20:02.485324,53.837,83.459,11.451,TekLinks
2018-02-28,17:30:02.497520,61.619,81.323,11.476,TekLinks
2018-02-28,17:40:02.812739,53.029,84.127,11.434,TekLinks
2018-02-28,17:50:01.598519,54.489,79.22,11.244,TekLinks
2018-02-28,18:00:02.115113,68.861,82.989,8.684,TekLinks
2018-02-28,18:10:03.143546,52.596,82.943,10.546,TekLinks
2018-02-28,18:20:02.731272,52.465,82.178,11.282,TekLinks
2018-02-28,18:30:01.758397,64.753,79.218,11.27,TekLinks
2018-02-28,18:40:02.017373,57.281,65.005,11.428,TekLinks
2018-02-28,18:50:02.174231,50.955,79.248,10.725,TekLinks
2018-02-28,19:00:08.460425,49.266,82.862,11.474,TekLinks
2018-02-28,19:10:02.456141,47.736,79.053,11.314,TekLinks
2018-02-28,19:20:02.030724,55.641,59.93,11.377,TekLinks
2018-02-28,19:30:02.110782,484.056,66.532,11.645,TekLinks
2018-02-28,19:40:01.906896,215.989,76.794,11.37,TekLinks
2018-02-28,19:50:02.010705,52.962,70.083,11.501,TekLinks
2018-02-28,20:00:10.856306,48.919,79.673,11.017,TekLinks
2018-02-28,20:10:04.028240,436.908,71.625,11.147,TekLinks
2018-02-28,20:20:02.756126,55.618,80.399,11.479,TekLinks
2018-02-28,20:30:01.959652,59.278,55.392,10.867,TekLinks
2018-02-28,20:40:02.861769,388.512,82.983,11.318,TekLinks
2018-02-28,20:50:01.740118,225.041,78.289,10.505,TekLinks
2018-02-28,21:00:10.546422,49.129,80.866,11.373,TekLinks
2018-02-28,21:10:02.375328,51.478,77.493,11.281,TekLinks
2018-02-28,21:20:02.004281,51.99,82.703,7.229,TekLinks
2018-02-28,21:30:02.362031,66.965,80.343,11.335,TekLinks
2018-02-28,21:40:01.887686,49.096,62.2,10.876,TekLinks
2018-02-28,21:50:02.192920,49.904,57.441,11.048,TekLinks
2018-02-28,22:00:07.125415,50.454,80.996,11.202,TekLinks
2018-02-28,22:10:02.106001,53.505,54.142,11.457,TekLinks
2018-02-28,22:20:02.273026,53.756,79.651,11.325,TekLinks
2018-02-28,22:30:02.325031,541.135,76.992,11.217,TekLinks
2018-02-28,22:40:01.705694,48.603,79.804,11.223,TekLinks
2018-02-28,22:50:01.980419,48.51,78.227,10.941,TekLinks
2018-02-28,23:00:05.433045,51.238,80.267,11.463,TekLinks
2018-02-28,23:10:02.463351,50.871,76.525,11.448,TekLinks
2018-02-28,23:20:02.456168,52.574,82.689,11.155,TekLinks
2018-02-28,23:30:02.139642,303.244,73.402,11.103,TekLinks
2018-02-28,23:40:01.943005,51.54,78.159,11.326,TekLinks
2018-02-28,23:50:01.999519,48.218,49.008,11.058,TekLinks
2018-03-01,00:00:02.628495,64.418,80.542,10.343,TekLinks
2018-03-01,00:10:03.440825,51.953,55.424,0.321,TekLinks
2018-03-01,00:20:03.401324,55.574,82.477,2.829,TekLinks
2018-03-01,00:30:03.699409,375.847,77.507,6.604,TekLinks
2018-03-01,00:40:03.065942,48.812,79.472,2.042,TekLinks
2018-03-01,00:50:02.847519,51.947,82.786,2.141,TekLinks
2018-03-01,01:00:08.341758,51.161,80.599,1.93,TekLinks
2018-03-01,01:10:02.451858,53.957,56.109,2.199,TekLinks
2018-03-01,01:20:03.503641,50.361,81.153,5.24,TekLinks
2018-03-01,01:30:02.626263,580.346,71.824,1.858,TekLinks
2018-03-01,01:40:03.134579,49.652,84.301,1.251,TekLinks
2018-03-01,01:50:03.133164,50.587,83.572,3.499,TekLinks
2018-03-01,02:00:03.741453,509.274,77.983,4.31,TekLinks
2018-03-01,02:10:03.607134,50.95,76.933,6.625,TekLinks
2018-03-01,02:20:02.817843,53.387,82.292,10.558,TekLinks
2018-03-01,02:30:08.417001,56.682,78.884,8.679,TekLinks
2018-03-01,02:40:02.837154,665.931,74.056,8.329,TekLinks
2018-03-01,02:50:03.656014,51.067,56.421,9.983,TekLinks
2018-03-01,03:00:03.151049,53.642,52.633,10.7,TekLinks
2018-03-01,03:10:02.877359,52.69,78.102,11.21,TekLinks
2018-03-01,03:20:02.303748,51.081,77.812,7.607,TekLinks
2018-03-01,03:30:02.812441,436.012,71.221,10.636,TekLinks
2018-03-01,03:40:02.440986,54.961,61.337,11.621,TekLinks
2018-03-01,03:50:02.277636,63.979,79.03,11.453,TekLinks
2018-03-01,04:00:01.787710,57.651,81.243,11.531,TekLinks
2018-03-01,04:10:02.332770,51.806,65.364,11.415,TekLinks
2018-03-01,04:20:01.845819,51.429,73.39,10.707,TekLinks
2018-03-01,04:30:05.456972,160.097,81.448,11.473,TekLinks
2018-03-01,04:40:01.907396,55.323,81.24,11.53,TekLinks
2018-03-01,04:50:02.456490,54.172,79.489,11.214,TekLinks
2018-03-01,05:00:07.688341,54.682,81.07,11.501,TekLinks
2018-03-01,05:10:02.522599,51.634,84.634,10.873,TekLinks
2018-03-01,05:20:02.022396,49.942,69.037,11.319,TekLinks
2018-03-01,05:30:02.876452,52.724,80.147,11.358,TekLinks
2018-03-01,05:40:02.124956,51.975,82.151,11.528,TekLinks
2018-03-01,05:50:02.053355,56.77,84.249,11.407,TekLinks
2018-03-01,06:00:03.358947,363.636,83.957,11.411,TekLinks
2018-03-01,06:10:02.041804,51.369,82.336,10.826,TekLinks
2018-03-01,06:20:03.042208,54.348,82.129,11.491,TekLinks
2018-03-01,06:30:02.396300,51.256,82.344,11.457,TekLinks
2018-03-01,06:40:02.317752,54.145,82.806,10.644,TekLinks
2018-03-01,06:50:03.259520,55.107,83.356,11.532,TekLinks
2018-03-01,07:00:08.050834,56.1,75.46,11.223,TekLinks
2018-03-01,07:10:02.069910,545.606,61.738,11.489,TekLinks
2018-03-01,07:20:02.258458,52.943,63.979,11.555,TekLinks
2018-03-01,07:30:02.483682,59.454,80.764,11.492,TekLinks
2018-03-01,07:40:02.288376,49.165,82.09,11.436,TekLinks
2018-03-01,07:50:02.215326,52.944,85.541,11.585,TekLinks
2018-03-01,08:00:07.191352,50.765,81.58,11.324,TekLinks
2018-03-01,08:10:02.122828,50.442,82.043,11.236,TekLinks
2018-03-01,08:20:01.703330,52.545,83.925,11.407,TekLinks
2018-03-01,08:30:02.107612,166.061,77.192,11.378,TekLinks
2018-03-01,08:40:02.497283,50.281,83.306,11.236,TekLinks
2018-03-01,08:50:02.685234,49.907,56.916,11.476,TekLinks
2018-03-01,09:00:01.996293,689.946,78.929,11.34,TekLinks
2018-03-01,09:10:02.783123,54.578,85.807,11.558,TekLinks
2018-03-01,09:20:01.918704,50.302,79.671,11.562,TekLinks
2018-03-01,09:30:02.134198,50.702,83.293,11.417,TekLinks
2018-03-01,09:40:02.608308,48.907,55.071,10.888,TekLinks
2018-03-01,09:50:01.944627,244.177,69.831,11.543,TekLinks
2018-03-01,10:00:06.505128,60.742,85.588,11.513,TekLinks
2018-03-01,10:10:02.452981,50.152,85.74,11.332,TekLinks
2018-03-01,10:20:01.699005,57.001,72.783,11.335,TekLinks
2018-03-01,10:30:02.296094,378.852,68.542,11.476,TekLinks
2018-03-01,10:40:02.761791,49.509,76.479,11.393,TekLinks
2018-03-01,10:50:01.862274,50.762,83.937,11.338,TekLinks
2018-03-01,11:00:11.092065,54.242,83.163,11.368,TekLinks
2018-03-01,11:10:02.819571,151.251,55.954,11.155,TekLinks
2018-03-01,11:20:02.469775,50.922,61.993,11.407,TekLinks
2018-03-01,11:30:05.318983,60.709,85.162,11.576,TekLinks
2018-03-01,11:40:02.588351,53.702,75.054,11.498,TekLinks
2018-03-01,11:50:01.902324,49.838,80.758,11.521,TekLinks
2018-03-01,12:00:09.340162,50.32,82.0,11.296,TekLinks
2018-03-01,12:10:02.196837,56.012,84.818,9.123,TekLinks
2018-03-01,12:20:02.281266,54.007,50.196,9.805,TekLinks
2018-03-01,12:30:05.561033,50.527,86.117,9.416,TekLinks
2018-03-01,12:40:03.217652,56.429,78.243,11.551,TekLinks
2018-03-01,12:50:02.105703,53.9,85.459,11.28,TekLinks
2018-03-01,13:00:08.598267,325.354,83.778,11.39,TekLinks
2018-03-01,13:10:02.158064,53.368,80.278,11.451,TekLinks
2018-03-01,13:20:02.278480,52.774,86.395,11.398,TekLinks
2018-03-01,13:30:06.363710,73.013,83.317,11.434,TekLinks
2018-03-01,13:40:02.236927,56.231,84.084,11.549,TekLinks
2018-03-01,13:50:02.405788,51.555,83.873,11.578,TekLinks
2018-03-01,14:00:01.549670,50.385,86.629,11.524,TekLinks
2018-03-01,14:10:02.534309,48.173,80.653,11.431,TekLinks
2018-03-01,14:20:02.146479,51.487,83.105,11.281,TekLinks
2018-03-01,14:30:05.627125,51.308,78.921,11.261,TekLinks
2018-03-01,14:40:02.689472,51.273,86.15,11.361,TekLinks
2018-03-01,14:50:01.670293,49.491,78.577,11.36,TekLinks
2018-03-01,15:00:08.956663,50.641,82.302,11.526,TekLinks
2018-03-01,15:10:01.788068,49.878,85.283,11.174,TekLinks
2018-03-01,15:20:02.699572,52.19,80.763,11.579,TekLinks
2018-03-01,15:30:01.806419,57.304,82.041,11.472,TekLinks
2018-03-01,15:40:02.118026,50.966,83.352,11.471,TekLinks
2018-03-01,15:50:02.277102,48.869,84.383,11.393,TekLinks
2018-03-01,16:00:10.521514,52.335,83.526,11.486,TekLinks
2018-03-01,16:10:02.768927,50.676,84.074,9.313,TekLinks
2018-03-01,16:20:02.647812,48.897,83.872,8.745,TekLinks
2018-03-01,16:30:08.489604,165.603,76.316,11.55,TekLinks
2018-03-01,16:40:02.377119,52.148,84.524,11.602,TekLinks
2018-03-01,16:50:02.540865,49.857,85.004,11.323,TekLinks
2018-03-01,17:00:07.729599,116.6,79.826,11.358,TekLinks
2018-03-01,17:10:02.694316,54.89,83.99,11.266,TekLinks
2018-03-01,17:20:02.617878,52.154,81.958,11.341,TekLinks
2018-03-01,17:30:02.489004,62.296,50.677,9.426,TekLinks
2018-03-01,17:40:02.405355,52.937,82.758,4.916,TekLinks
2018-03-01,17:50:02.494812,56.918,64.653,11.42,TekLinks
2018-03-01,18:00:07.372123,87.385,80.411,11.184,TekLinks
2018-03-01,18:10:01.956589,52.026,81.398,11.452,TekLinks
2018-03-01,18:20:02.519635,54.006,85.004,11.508,TekLinks
2018-03-01,18:30:02.712744,52.933,83.064,10.542,TekLinks
2018-03-01,18:40:02.721256,52.589,54.252,11.239,TekLinks
2018-03-01,18:50:02.561460,49.348,82.465,11.367,TekLinks
2018-03-01,19:00:10.133952,51.802,80.987,11.141,TekLinks
2018-03-01,19:10:01.995319,50.19,80.672,11.261,TekLinks
2018-03-01,19:20:02.616530,49.8,81.116,11.453,TekLinks
2018-03-01,19:30:08.320861,182.283,79.998,10.451,TekLinks
2018-03-01,19:40:02.673241,51.959,81.766,10.899,TekLinks
2018-03-01,19:50:02.580842,231.022,78.545,11.213,TekLinks
2018-03-01,20:00:01.774678,53.806,79.244,10.629,TekLinks
2018-03-01,20:10:02.008221,56.605,74.353,11.632,TekLinks
2018-03-01,20:20:02.485899,57.632,80.386,11.27,TekLinks
2018-03-01,20:30:01.748173,398.908,80.89,11.538,TekLinks
2018-03-01,20:40:01.909843,54.027,82.717,11.454,TekLinks
2018-03-01,20:50:02.080986,48.587,73.687,11.486,TekLinks
2018-03-01,21:00:02.317483,588.792,82.107,11.467,TekLinks
2018-03-01,21:10:01.803890,51.968,74.565,10.66,TekLinks
2018-03-01,21:20:02.602182,52.411,83.419,11.504,TekLinks
2018-03-01,21:30:03.013010,52.46,72.952,10.049,TekLinks
2018-03-01,21:40:02.181347,49.341,79.932,11.442,TekLinks
2018-03-01,21:50:02.418037,51.309,75.293,11.276,TekLinks
2018-03-01,22:00:01.873803,49.379,76.673,8.988,TekLinks
2018-03-01,22:10:01.821170,50.845,62.806,11.7,TekLinks
2018-03-01,22:20:02.230978,53.85,68.151,11.316,TekLinks
2018-03-01,22:30:02.635303,50.089,81.067,11.203,TekLinks
2018-03-01,22:40:02.017246,52.885,81.623,11.526,TekLinks
2018-03-01,22:50:02.098944,55.936,83.09,11.463,TekLinks
2018-03-01,23:00:07.858230,49.735,80.269,11.34,TekLinks
2018-03-01,23:10:01.689203,51.148,67.409,11.344,TekLinks
2018-03-01,23:20:01.961862,51.665,75.318,11.508,TekLinks
2018-03-01,23:30:02.086579,325.864,75.617,11.285,TekLinks
2018-03-01,23:40:02.823675,49.685,82.321,11.373,TekLinks
2018-03-01,23:50:01.995433,53.275,81.09,4.973,TekLinks
2018-03-02,00:00:02.562043,268.158,82.545,11.376,TekLinks
2018-03-02,00:10:01.830261,48.976,82.605,11.287,TekLinks
2018-03-02,00:20:02.076321,50.567,82.331,11.554,TekLinks
2018-03-02,00:30:03.908758,54.253,75.604,10.422,TekLinks
2018-03-02,00:40:02.190484,53.684,80.286,9.917,TekLinks
2018-03-02,00:50:03.131605,52.627,79.003,11.312,TekLinks
2018-03-02,01:00:07.831916,249.926,80.221,11.464,TekLinks
2018-03-02,01:10:01.523234,51.358,72.898,11.272,TekLinks
2018-03-02,01:20:02.777758,52.775,76.739,11.436,TekLinks
2018-03-02,01:30:02.073367,56.981,84.159,11.309,TekLinks
2018-03-02,01:40:02.326043,53.099,79.359,11.293,TekLinks
2018-03-02,01:50:02.252378,55.288,82.607,11.353,TekLinks
2018-03-02,02:00:08.809127,51.97,79.44,11.543,TekLinks
2018-03-02,02:10:02.153794,242.349,52.575,11.222,TekLinks
2018-03-02,02:20:02.502831,51.054,52.427,11.217,TekLinks
2018-03-02,02:30:02.038872,689.857,59.145,9.603,TekLinks
2018-03-02,02:40:02.128475,53.013,54.312,11.431,TekLinks
2018-03-02,02:50:02.294726,54.271,80.682,11.518,TekLinks
2018-03-02,03:00:08.099103,56.994,79.309,9.783,TekLinks
2018-03-02,03:10:02.282825,51.184,59.393,11.238,TekLinks
2018-03-02,03:20:02.310745,57.954,79.858,11.218,TekLinks
2018-03-02,03:30:01.866216,54.207,78.307,11.409,TekLinks
2018-03-02,03:40:02.082726,56.016,80.69,11.216,TekLinks
2018-03-02,03:50:01.982431,51.371,82.753,9.542,TekLinks
2018-03-02,04:00:07.408441,50.711,83.646,11.153,TekLinks
2018-03-02,04:10:02.479509,50.195,74.019,11.453,TekLinks
2018-03-02,04:20:02.543581,49.216,81.868,9.491,TekLinks
2018-03-02,04:30:02.180027,50.466,81.889,10.871,TekLinks
2018-03-02,04:40:02.607932,50.381,82.837,11.351,TekLinks
2018-03-02,04:50:02.465268,52.427,79.945,11.455,TekLinks
2018-03-02,05:00:10.167074,48.234,79.273,11.431,TekLinks
2018-03-02,05:10:02.493199,407.074,74.292,11.53,TekLinks
2018-03-02,05:20:01.601210,52.763,84.131,11.264,TekLinks
2018-03-02,05:30:02.821899,66.282,84.871,11.325,TekLinks
2018-03-02,05:40:02.017111,49.913,47.565,11.5,TekLinks
2018-03-02,05:50:01.832444,54.122,69.324,11.409,TekLinks
2018-03-02,06:00:02.168666,422.831,81.222,11.352,TekLinks
2018-03-02,06:10:01.908961,51.544,84.263,10.713,TekLinks
2018-03-02,06:20:02.800702,50.37,52.202,10.035,TekLinks
2018-03-02,06:30:02.467354,58.808,82.253,11.588,TekLinks
2018-03-02,06:40:02.905285,54.59,82.426,11.365,TekLinks
2018-03-02,06:50:02.365889,51.935,79.887,11.398,TekLinks
2018-03-02,07:00:06.879870,51.144,75.959,11.599,TekLinks
2018-03-02,07:10:01.730664,54.553,64.615,11.353,TekLinks
2018-03-02,07:20:02.409504,49.475,70.901,11.466,TekLinks
2018-03-02,07:30:02.761107,51.339,50.063,11.365,TekLinks
2018-03-02,07:40:02.608843,53.91,84.838,11.284,TekLinks
2018-03-02,07:50:02.144901,50.133,59.274,11.365,TekLinks
2018-03-02,08:00:08.982351,832.01,86.396,11.32,TekLinks
2018-03-02,08:10:02.765991,53.605,84.609,10.536,TekLinks
2018-03-02,08:20:02.368307,48.36,85.463,11.205,TekLinks
2018-03-02,08:30:02.494205,68.382,84.826,11.634,TekLinks
2018-03-02,08:40:02.661751,639.677,83.997,11.398,TekLinks
2018-03-02,08:50:02.074028,53.763,85.18,11.277,TekLinks
2018-03-02,09:00:09.799628,50.741,82.662,9.482,TekLinks
2018-03-02,09:10:02.492869,52.922,84.791,11.651,TekLinks
2018-03-02,09:20:02.532805,56.474,56.05,11.365,TekLinks
2018-03-02,09:30:02.202741,195.982,83.033,11.574,TekLinks
2018-03-02,09:40:01.974382,49.105,30.669,11.452,TekLinks
2018-03-02,09:50:02.478471,48.829,85.217,11.539,TekLinks
2018-03-02,10:00:02.262284,50.23,78.508,11.461,TekLinks
2018-03-02,10:10:02.341699,50.525,70.712,11.217,TekLinks
2018-03-02,10:20:02.552766,49.409,77.355,11.218,TekLinks
2018-03-02,10:30:02.181953,308.495,81.29,11.591,TekLinks
2018-03-02,10:40:01.930744,50.373,79.566,11.531,TekLinks
2018-03-02,10:50:01.956954,49.059,80.435,11.541,TekLinks
2018-03-02,11:00:08.388018,51.338,72.154,11.542,TekLinks
2018-03-02,11:10:02.354902,49.975,76.799,11.17,TekLinks
2018-03-02,11:20:01.753035,52.646,82.632,11.257,TekLinks
2018-03-02,11:30:07.673026,50.65,79.738,11.32,TekLinks
2018-03-02,11:40:01.922127,49.025,72.041,11.246,TekLinks
2018-03-02,11:50:02.105277,50.647,84.557,9.628,TekLinks
2018-03-02,12:00:07.645273,153.649,70.431,10.455,TekLinks
2018-03-02,12:10:02.758712,50.999,57.747,11.078,TekLinks
2018-03-02,12:20:07.422770,50.592,77.923,11.512,TekLinks
2018-03-02,12:30:04.142826,162.113,82.519,11.025,TekLinks
2018-03-02,12:40:03.346805,50.626,81.014,11.182,TekLinks
2018-03-02,12:50:02.968201,54.314,81.769,10.091,TekLinks
2018-03-02,13:00:01.699202,50.351,80.643,11.45,TekLinks
2018-03-02,13:10:02.602837,49.232,77.26,11.358,TekLinks
2018-03-02,13:20:01.946086,53.031,71.815,11.119,TekLinks
2018-03-02,13:30:02.175941,59.201,80.121,10.847,TekLinks
2018-03-02,13:40:02.331712,49.996,74.772,11.45,TekLinks
2018-03-02,13:50:02.203055,53.74,83.36,11.491,TekLinks
2018-03-02,14:00:08.389434,138.796,81.837,11.397,TekLinks
2018-03-02,14:10:02.073078,55.329,52.988,11.413,TekLinks
2018-03-02,14:20:02.282593,48.828,83.183,11.049,TekLinks
2018-03-02,14:30:03.931865,128.08,69.493,11.322,TekLinks
2018-03-02,14:40:02.749731,54.458,81.596,11.438,TekLinks
2018-03-02,14:50:02.558714,53.472,60.016,11.469,TekLinks
2018-03-02,15:00:08.843939,59.008,83.275,11.434,TekLinks
2018-03-02,15:10:02.245420,54.616,73.807,11.141,TekLinks
2018-03-02,15:20:02.368535,56.004,82.293,11.499,TekLinks
2018-03-02,15:30:08.489015,53.672,79.32,11.447,TekLinks
2018-03-02,15:40:02.594942,52.331,81.92,10.885,TekLinks
2018-03-02,15:50:02.098323,48.743,63.323,11.29,TekLinks
